unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1596420000000,2020-08-03 2:00:00,BNB/USDT,21.1553,21.19,21.0706,21.0898,94992.35,2007820.371,4766
1596423600000,2020-08-03 3:00:00,BNB/USDT,21.0826,21.1274,20.8948,20.9792,119570.13,2513005.572,5503
1596427200000,2020-08-03 4:00:00,BNB/USDT,20.9792,21.1188,20.9776,21.0725,83021.08,1748497.715,3906
1596430800000,2020-08-03 5:00:00,BNB/USDT,21.0681,21.24,21.0333,21.2219,105316.31,2226755.045,3214
1596434400000,2020-08-03 6:00:00,BNB/USDT,21.2219,21.3622,21.2101,21.2592,125233.97,2664899.612,6405
1596438000000,2020-08-03 7:00:00,BNB/USDT,21.2565,21.6451,21.2222,21.5899,138703.38,2979797.063,8097
1596441600000,2020-08-03 8:00:00,BNB/USDT,21.5829,21.9192,21.5,21.8023,171749.52,3736583.52,9133
1596445200000,2020-08-03 9:00:00,BNB/USDT,21.8031,21.8202,21.5678,21.5844,106808.86,2317149.77,8102
1596448800000,2020-08-03 10:00:00,BNB/USDT,21.5817,22.0751,21.5679,22.0155,118762.54,2599357.094,7763
1596452400000,2020-08-03 11:00:00,BNB/USDT,22.0153,22.5,21.9884,22.4052,248707.85,5548412.115,14380
1596456000000,2020-08-03 12:00:00,BNB/USDT,22.4051,22.4924,22.1853,22.3185,139000.86,3103089.46,9493
1596459600000,2020-08-03 13:00:00,BNB/USDT,22.3176,22.4024,22.0833,22.2768,130886.86,2910248.503,10061
1596463200000,2020-08-03 14:00:00,BNB/USDT,22.2811,22.48,22.102,22.2518,131775.91,2939014.437,10234
1596466800000,2020-08-03 15:00:00,BNB/USDT,22.2518,22.33,21.9055,22.1591,132421.19,2932137.359,8735
1596470400000,2020-08-03 16:00:00,BNB/USDT,22.1594,22.3525,22.0821,22.1806,107920.63,2398774.564,9280
1596474000000,2020-08-03 17:00:00,BNB/USDT,22.1806,22.35,22.0919,22.35,76160.27,1691712.587,6073
1596477600000,2020-08-03 18:00:00,BNB/USDT,22.35,22.3687,22.2631,22.3162,33069.07,737995.2421,3489
1596481200000,2020-08-03 19:00:00,BNB/USDT,22.317,22.317,22.0467,22.179,61189.39,1356574.242,5906
1596484800000,2020-08-03 20:00:00,BNB/USDT,22.1903,22.2593,22.0061,22.0797,44270.2,978323.0242,3707
1596488400000,2020-08-03 21:00:00,BNB/USDT,22.0942,22.1678,21.53,21.615,95373.62,2090257.19,8413
1596492000000,2020-08-03 22:00:00,BNB/USDT,21.6223,21.9919,21.5791,21.748,75257.97,1640420.733,7251
1596495600000,2020-08-03 23:00:00,BNB/USDT,21.7433,22.0684,21.6,22.0504,76174.87,1661618.875,5688
1596499200000,2020-08-04 0:00:00,BNB/USDT,22.0622,22.41,21.9855,22.4057,182925.66,4068124.281,10918
1596502800000,2020-08-04 1:00:00,BNB/USDT,22.395,22.4059,22.11,22.1171,133784.14,2973069.211,6755
1596506400000,2020-08-04 2:00:00,BNB/USDT,22.118,22.2603,21.92,21.9501,108614.44,2399734.005,6362
1596510000000,2020-08-04 3:00:00,BNB/USDT,21.9504,22.0674,21.8167,21.9965,97926.38,2149268.986,6485
1596513600000,2020-08-04 4:00:00,BNB/USDT,21.9938,22.1351,21.8834,22.0671,127315.14,2805267.383,5727
1596517200000,2020-08-04 5:00:00,BNB/USDT,22.0812,22.13,21.9544,22.0703,63181.99,1392115.948,3882
1596520800000,2020-08-04 6:00:00,BNB/USDT,22.08,22.12,21.9313,22.0518,66301.13,1462027.695,3192
1596524400000,2020-08-04 7:00:00,BNB/USDT,22.0518,22.2875,22.0344,22.26,84766.9,1881433.369,4858
1596528000000,2020-08-04 8:00:00,BNB/USDT,22.2585,22.2589,22.05,22.0802,104853.67,2323197.702,5787
1596531600000,2020-08-04 9:00:00,BNB/USDT,22.0799,22.163,21.9701,22.085,75565.71,1667032.035,5977
1596535200000,2020-08-04 10:00:00,BNB/USDT,22.085,22.1192,21.881,21.8925,69402.42,1528616.018,5093
1596538800000,2020-08-04 11:00:00,BNB/USDT,21.8988,22.0235,21.41,21.6441,169937.81,3691889.514,12373
1596542400000,2020-08-04 12:00:00,BNB/USDT,21.6425,21.8887,21.5769,21.88,83059.31,1806608.222,6959
