unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1596394800000,2020-08-02 19:00:00,BTC/USDT,11228.95,11266.12,11117.65,11202.8,2333.294518,26114438.14,38106
1596398400000,2020-08-02 20:00:00,BTC/USDT,11202.8,11219.48,11080.6,11087.98,2108.33185,23500785.15,37471
1596402000000,2020-08-02 21:00:00,BTC/USDT,11087.98,11155.25,11000,11132.76,2084.358789,23118467.5,50398
1596405600000,2020-08-02 22:00:00,BTC/USDT,11132.76,11187.01,11104,11118.32,1583.241477,17650800.66,30453
1596409200000,2020-08-02 23:00:00,BTC/USDT,11118.32,11139.24,11032.25,11071.35,1537.47462,17062586.22,31723
1596412800000,2020-08-03 0:00:00,BTC/USDT,11071.36,11144.77,10936,11135.3,2773.288195,30671167.38,48318
1596416400000,2020-08-03 1:00:00,BTC/USDT,11135.3,11179.1,11108.11,11117.97,1768.036191,19704216.89,33848
1596420000000,2020-08-03 2:00:00,BTC/USDT,11117.97,11207.88,11117.97,11178.65,1779.632216,19879626.6,34273
1596423600000,2020-08-03 3:00:00,BTC/USDT,11178.55,11194.64,11115.07,11136.47,1666.929049,18604582.51,25458
1596427200000,2020-08-03 4:00:00,BTC/USDT,11136.27,11187.23,11132.43,11171.32,1083.257388,12093959.98,21708
1596430800000,2020-08-03 5:00:00,BTC/USDT,11171.32,11200,11126.44,11200,1593.169888,17794441.48,26303
1596434400000,2020-08-03 6:00:00,BTC/USDT,11200,11244.99,11165,11190.5,1982.388716,22215908.39,36693
1596438000000,2020-08-03 7:00:00,BTC/USDT,11190.5,11233.5,11183.85,11197.11,1493.181236,16741385.01,31982
1596441600000,2020-08-03 8:00:00,BTC/USDT,11196.93,11240,11172.28,11189.87,1942.765546,21781295.19,32645
1596445200000,2020-08-03 9:00:00,BTC/USDT,11189.87,11215.4,11122.82,11127.98,2181.487651,24373512.51,33527
1596448800000,2020-08-03 10:00:00,BTC/USDT,11128.07,11202.28,11120.69,11201.75,1766.031868,19720985.47,30245
1596452400000,2020-08-03 11:00:00,BTC/USDT,11201.75,11243,11174.61,11231.14,2932.630036,32877802.33,39895
1596456000000,2020-08-03 12:00:00,BTC/USDT,11231.15,11246.33,11191.31,11218.01,2428.100139,27242188.29,38079
1596459600000,2020-08-03 13:00:00,BTC/USDT,11218,11300,11216.1,11273.05,3012.490844,33920555.9,48911
1596463200000,2020-08-03 14:00:00,BTC/USDT,11272.98,11342.42,11260,11300,3722.26068,42071136.7,53971
1596466800000,2020-08-03 15:00:00,BTC/USDT,11300,11385,11295.16,11382.37,3453.97483,39218412.51,50245
1596470400000,2020-08-03 16:00:00,BTC/USDT,11382.37,11473,11324.92,11352.25,5413.435653,61799612.35,70366
1596474000000,2020-08-03 17:00:00,BTC/USDT,11354.68,11435.83,11329.73,11417.07,2435.670051,27748518.6,39780
1596477600000,2020-08-03 18:00:00,BTC/USDT,11417.06,11430,11368.8,11416.12,1912.626784,21796111.84,27833
1596481200000,2020-08-03 19:00:00,BTC/USDT,11416.04,11416.11,11347.91,11399.46,1835.407949,20884690.4,26671
1596484800000,2020-08-03 20:00:00,BTC/USDT,11399.46,11416,11346.62,11373.63,1663.34339,18930992.22,25130
1596488400000,2020-08-03 21:00:00,BTC/USDT,11373.63,11409,11140.52,11191.28,3543.252187,39992138.58,57624
1596492000000,2020-08-03 22:00:00,BTC/USDT,11190.74,11294.95,11174.98,11213.94,2638.462347,29651618.52,47401
1596495600000,2020-08-03 23:00:00,BTC/USDT,11213.94,11248.36,11133.75,11219.81,1910.018641,21412733.62,38279
1596499200000,2020-08-04 0:00:00,BTC/USDT,11219.68,11414.98,11217.41,11366.68,3004.943634,34059381.33,50055
1596502800000,2020-08-04 1:00:00,BTC/USDT,11366.68,11375.97,11317.66,11321.09,2212.678075,25107774.51,31675
1596506400000,2020-08-04 2:00:00,BTC/USDT,11320.96,11360.86,11263.96,11284.34,2219.216077,25110301.31,33192
1596510000000,2020-08-04 3:00:00,BTC/USDT,11284.33,11313.82,11215.66,11261.43,2019.643585,22754936.98,30972
1596513600000,2020-08-04 4:00:00,BTC/USDT,11261.61,11315.31,11229.99,11311.66,1985.515558,22391153.6,29937
1596517200000,2020-08-04 5:00:00,BTC/USDT,11311.66,11327.13,11250.84,11277.83,1455.016099,16415151.93,26962
1596520800000,2020-08-04 6:00:00,BTC/USDT,11277.83,11280,11185,11247.18,1996.926015,22448990.77,29840
1596524400000,2020-08-04 7:00:00,BTC/USDT,11247.19,11307.74,11235,11291.84,2031.493275,22924100.82,28433
1596528000000,2020-08-04 8:00:00,BTC/USDT,11291.85,11319.37,11238.49,11238.88,2574.841487,29060848.78,36520
1596531600000,2020-08-04 9:00:00,BTC/USDT,11239.26,11266,11226.01,11249.99,1901.759617,21391851.46,31403
1596535200000,2020-08-04 10:00:00,BTC/USDT,11250,11300,11206,11220.59,2831.366912,31867556.19,42010
1596538800000,2020-08-04 11:00:00,BTC/USDT,11220.59,11276,11000,11117.51,5467.576655,61019009.23,70166
1596542400000,2020-08-04 12:00:00,BTC/USDT,11117.91,11173.73,11092.68,11150.86,3738.197057,41638098.26,48353
1596546000000,2020-08-04 13:00:00,BTC/USDT,11150.73,11157.96,11012.23,11129.99,3855.738533,42810786.78,56870
1596549600000,2020-08-04 14:00:00,BTC/USDT,11129.99,11210.21,11121.4,11205,2493.635478,27828927.48,39036
1596553200000,2020-08-04 15:00:00,BTC/USDT,11205,11233.64,11173.5,11210.91,2650.562325,29688913.53,38996
1596556800000,2020-08-04 16:00:00,BTC/USDT,11210.91,11234,11130,11165.36,2439.906842,27280972.77,39039
1596560400000,2020-08-04 17:00:00,BTC/USDT,11165.36,11259,11152.1,11248.72,2484.151486,27815139.47,31982
1596564000000,2020-08-04 18:00:00,BTC/USDT,11248.72,11267,11195,11219.67,2331.990664,26199117.59,29959
1596567600000,2020-08-04 19:00:00,BTC/USDT,11219.68,11244,11210.83,11221.37,1968.523495,22102989,25265
1596571200000,2020-08-04 20:00:00,BTC/USDT,11221.38,11269.45,11200.22,11211.51,2092.194214,23519602.14,27450
1596574800000,2020-08-04 21:00:00,BTC/USDT,11211.51,11246.42,11151.8,11225.13,1521.299214,17058983.79,32925
1596578400000,2020-08-04 22:00:00,BTC/USDT,11226.08,11255,11198.4,11232.39,1733.28344,19458440,26214
