unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1596384000000,2020-08-02 16:00:00,ETH/USDT,368.18,382.51,367.88,381.8,105905.7735,39808842.76,36877
1596387600000,2020-08-02 17:00:00,ETH/USDT,381.79,388.61,381.69,384.73,124862.3463,48140110.6,45871
1596391200000,2020-08-02 18:00:00,ETH/USDT,384.73,386.47,381.85,385.3,41827.30954,16073470.35,20771
1596394800000,2020-08-02 19:00:00,ETH/USDT,385.32,386.87,372,379.22,89308.28333,33839534.6,34627
1596398400000,2020-08-02 20:00:00,ETH/USDT,379.2,380.13,373,373.51,46609.47489,17573024.3,23039
1596402000000,2020-08-02 21:00:00,ETH/USDT,373.42,378.1,369.01,377.5,57762.95325,21616610.48,25048
1596405600000,2020-08-02 22:00:00,ETH/USDT,377.53,381.3,372.08,373.39,40818.66311,15409746.47,21398
1596409200000,2020-08-02 23:00:00,ETH/USDT,373.36,375.94,368.1,372.42,41363.31644,15395184.47,20577
1596412800000,2020-08-03 0:00:00,ETH/USDT,372.45,379.49,366.5,377.98,65158.19413,24379220.59,31186
1596416400000,2020-08-03 1:00:00,ETH/USDT,377.98,383.94,377.98,379.73,49268.97087,18797216.75,25212
1596420000000,2020-08-03 2:00:00,ETH/USDT,379.74,385.82,379.62,383.52,40224.23775,15404497.24,18321
1596423600000,2020-08-03 3:00:00,ETH/USDT,383.55,384.76,377.84,379.62,32419.91976,12357890.46,15934
1596427200000,2020-08-03 4:00:00,ETH/USDT,379.62,382.83,379.51,381.2,21853.22581,8338377.062,11303
1596430800000,2020-08-03 5:00:00,ETH/USDT,381.2,384.59,379.15,384.45,24203.00675,9241601.658,13397
1596434400000,2020-08-03 6:00:00,ETH/USDT,384.52,386.86,382.33,384.05,37904.06852,14580701.49,18230
1596438000000,2020-08-03 7:00:00,ETH/USDT,384.05,387.2,382.88,384.65,33814.86061,13037402.44,16415
1596441600000,2020-08-03 8:00:00,ETH/USDT,384.64,386.21,381.71,381.71,35766.51964,13734746.29,16994
1596445200000,2020-08-03 9:00:00,ETH/USDT,381.75,384.52,380.22,380.54,34516.81624,13214880.58,15599
1596448800000,2020-08-03 10:00:00,ETH/USDT,380.55,385.6,380.33,385.46,32621.32079,12490944.06,14591
1596452400000,2020-08-03 11:00:00,ETH/USDT,385.45,392.66,383.58,390.93,100688.0806,39144088.48,38942
1596456000000,2020-08-03 12:00:00,ETH/USDT,390.97,391.43,386.55,389.44,55803.76873,21715418.71,24758
1596459600000,2020-08-03 13:00:00,ETH/USDT,389.45,395,389.1,393.22,61657.38335,24208048.57,28532
1596463200000,2020-08-03 14:00:00,ETH/USDT,393.2,398,391.77,394.14,91936.99608,36346887.4,38567
1596466800000,2020-08-03 15:00:00,ETH/USDT,394.17,396.95,388.34,393.67,67687.42847,26598424.86,29222
1596470400000,2020-08-03 16:00:00,ETH/USDT,393.66,397.96,389.21,390.45,96152.576,37905911.87,38784
