unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,tradecount
1596625200000,2020-08-05 11:00:00,XRP/USDT,0.30101,0.306,0.3009,0.30548,23583660.8,7175140.105,12158
1596628800000,2020-08-05 12:00:00,XRP/USDT,0.30548,0.307,0.30317,0.30651,20296874.6,6192103.541,10987
1596632400000,2020-08-05 13:00:00,XRP/USDT,0.3066,0.30813,0.30513,0.30626,23342676.4,7159050.989,11771
1596636000000,2020-08-05 14:00:00,XRP/USDT,0.30623,0.30644,0.29903,0.30131,27926043.3,8450353.422,14031
1596639600000,2020-08-05 15:00:00,XRP/USDT,0.30132,0.30413,0.30127,0.30242,12912816.4,3909506.827,7598
1596643200000,2020-08-05 16:00:00,XRP/USDT,0.30243,0.30522,0.30135,0.30292,17687943.1,5372964.435,9031
1596646800000,2020-08-05 17:00:00,XRP/USDT,0.30294,0.30452,0.30174,0.30326,9850397.1,2986100.69,6322
1596650400000,2020-08-05 18:00:00,XRP/USDT,0.30327,0.30442,0.30276,0.30421,6770674.3,2056265.667,4728
1596654000000,2020-08-05 19:00:00,XRP/USDT,0.30417,0.30644,0.3037,0.30424,11585632.8,3533647.78,6216
1596657600000,2020-08-05 20:00:00,XRP/USDT,0.30424,0.3047,0.30187,0.30218,10330402.6,3134962.582,5359
1596661200000,2020-08-05 21:00:00,XRP/USDT,0.30222,0.30662,0.30187,0.30642,11787500.2,3585823.461,6568
1596664800000,2020-08-05 22:00:00,XRP/USDT,0.30641,0.30649,0.29624,0.29991,24788576.1,7468191.164,12620
1596668400000,2020-08-05 23:00:00,XRP/USDT,0.29998,0.30427,0.29998,0.30228,14028034,4241646.254,7763
1596672000000,2020-08-06 0:00:00,XRP/USDT,0.30233,0.30375,0.30099,0.3022,13813133.3,4176622.406,7763
1596675600000,2020-08-06 1:00:00,XRP/USDT,0.30209,0.30212,0.30041,0.301,9556852,2879070.524,5611
1596679200000,2020-08-06 2:00:00,XRP/USDT,0.301,0.301,0.29887,0.30036,8887066.1,2665089.411,5762
1596682800000,2020-08-06 3:00:00,XRP/USDT,0.30038,0.30057,0.29759,0.29927,9546442.8,2853409.206,6468
1596686400000,2020-08-06 4:00:00,XRP/USDT,0.29916,0.29998,0.29722,0.29801,11167492.3,3332265.186,7097
1596690000000,2020-08-06 5:00:00,XRP/USDT,0.29805,0.29968,0.29743,0.29947,9843259,2940932.201,5727
1596693600000,2020-08-06 6:00:00,XRP/USDT,0.29954,0.30241,0.29911,0.302,8431689.6,2540786.315,4844
1596697200000,2020-08-06 7:00:00,XRP/USDT,0.30195,0.30195,0.2996,0.3005,7889582.1,2374530.016,4276
1596700800000,2020-08-06 8:00:00,XRP/USDT,0.30052,0.3016,0.2998,0.3011,7837884,2357790.662,4495
1596704400000,2020-08-06 9:00:00,XRP/USDT,0.30107,0.30156,0.30003,0.30016,9290945.6,2796609.906,4764
1596708000000,2020-08-06 10:00:00,XRP/USDT,0.30017,0.30017,0.29733,0.2976,11064044.5,3306407.125,7185
1596711600000,2020-08-06 11:00:00,XRP/USDT,0.2976,0.2995,0.29732,0.29866,8951553.2,2673963.858,6170
1596715200000,2020-08-06 12:00:00,XRP/USDT,0.29868,0.30222,0.29868,0.30075,12877549.9,3875448.195,7363
1596718800000,2020-08-06 13:00:00,XRP/USDT,0.30075,0.30202,0.29967,0.30164,16333718,4916072.519,9148
1596722400000,2020-08-06 14:00:00,XRP/USDT,0.30174,0.30189,0.3,0.30134,14256638.8,4291845.071,7606
1596726000000,2020-08-06 15:00:00,XRP/USDT,0.30138,0.31126,0.30128,0.30929,53827097.1,16593620.42,27101
1596729600000,2020-08-06 16:00:00,XRP/USDT,0.30928,0.30996,0.30564,0.30685,16126667,4961257.437,10771
1596733200000,2020-08-06 17:00:00,XRP/USDT,0.30685,0.30762,0.30452,0.30757,14101172.4,4326959.137,7789
1596736800000,2020-08-06 18:00:00,XRP/USDT,0.30755,0.30853,0.30556,0.30806,9835763,3023200.279,6135
1596740400000,2020-08-06 19:00:00,XRP/USDT,0.30805,0.30924,0.30703,0.30846,10766637.1,3319121.535,6552
1596744000000,2020-08-06 20:00:00,XRP/USDT,0.30848,0.30955,0.30474,0.30695,10509216.2,3229255.029,6292
1596747600000,2020-08-06 21:00:00,XRP/USDT,0.30695,0.30817,0.29964,0.30334,15027411.8,4560269.463,9050
1596751200000,2020-08-06 22:00:00,XRP/USDT,0.30327,0.30439,0.30155,0.30379,13611604.7,4126229.347,8656
1596754800000,2020-08-06 23:00:00,XRP/USDT,0.30379,0.30383,0.3009,0.30311,11958219.4,3620055.226,7042
1596758400000,2020-08-07 0:00:00,XRP/USDT,0.30309,0.30482,0.30177,0.3046,11148060,3383790.897,6533
1596762000000,2020-08-07 1:00:00,XRP/USDT,0.30459,0.30688,0.30459,0.30523,11885837.2,3634446.173,8046
1596765600000,2020-08-07 2:00:00,XRP/USDT,0.30531,0.30684,0.305,0.30541,10757194.1,3289022.874,6421
1596769200000,2020-08-07 3:00:00,XRP/USDT,0.30543,0.30637,0.30401,0.30419,6798324.9,2075498.881,4869
1596772800000,2020-08-07 4:00:00,XRP/USDT,0.30419,0.30526,0.30282,0.30508,6786476.4,2062410.898,4985
1596776400000,2020-08-07 5:00:00,XRP/USDT,0.30503,0.30527,0.30215,0.30309,12514073.4,3800808.76,7039
1596780000000,2020-08-07 6:00:00,XRP/USDT,0.30305,0.3048,0.30238,0.30423,8492049,2580642.422,5280
1596783600000,2020-08-07 7:00:00,XRP/USDT,0.30422,0.30454,0.30291,0.3035,8020831.9,2434895.128,4701
1596787200000,2020-08-07 8:00:00,XRP/USDT,0.3035,0.30887,0.30139,0.3086,19618338.9,6000925.596,10954
1596790800000,2020-08-07 9:00:00,XRP/USDT,0.30866,0.31037,0.30681,0.30736,21291671.8,6570457.731,11603
1596794400000,2020-08-07 10:00:00,XRP/USDT,0.30736,0.30867,0.30657,0.30719,7939812.2,2444575.254,5483
1596798000000,2020-08-07 11:00:00,XRP/USDT,0.30718,0.30718,0.30309,0.30598,12699154.8,3876325.677,8280
1596801600000,2020-08-07 12:00:00,XRP/USDT,0.30599,0.30746,0.3038,0.30643,11915026,3642512.542,7428
1596805200000,2020-08-07 13:00:00,XRP/USDT,0.30642,0.30735,0.30553,0.30714,7288916.6,2234293.173,5373
1596808800000,2020-08-07 14:00:00,XRP/USDT,0.30717,0.30728,0.293,0.30032,38422064.7,11549332.44,19429
1596812400000,2020-08-07 15:00:00,XRP/USDT,0.30029,0.30204,0.29914,0.30005,14192058.7,4266964.566,7897
1596816000000,2020-08-07 16:00:00,XRP/USDT,0.30004,0.30107,0.2961,0.29667,13067337.8,3902701.638,8382
1596819600000,2020-08-07 17:00:00,XRP/USDT,0.29666,0.29777,0.27936,0.28927,65172854.3,18849945.8,35444
1596823200000,2020-08-07 18:00:00,XRP/USDT,0.28925,0.28931,0.28239,0.28903,24576159.6,7043556.812,14996
1596826800000,2020-08-07 19:00:00,XRP/USDT,0.289,0.29247,0.2883,0.28958,10768838.4,3129515.711,7315
1596830400000,2020-08-07 20:00:00,XRP/USDT,0.28955,0.2932,0.28848,0.29247,7545615.8,2198773.424,5700
1596834000000,2020-08-07 21:00:00,XRP/USDT,0.29247,0.2952,0.29174,0.29505,6645263.6,1951122.894,4733
1596837600000,2020-08-07 22:00:00,XRP/USDT,0.29505,0.29631,0.29395,0.29488,7358750.9,2172467.645,4725
1596841200000,2020-08-07 23:00:00,XRP/USDT,0.29482,0.29649,0.29263,0.29437,5153306.3,1518044.219,3902
1596844800000,2020-08-08 0:00:00,XRP/USDT,0.29444,0.29497,0.29183,0.29494,6623858.2,1943899.534,4531
1596848400000,2020-08-08 1:00:00,XRP/USDT,0.29493,0.29671,0.29467,0.29617,6879164.4,2033396.877,4143
1596852000000,2020-08-08 2:00:00,XRP/USDT,0.29614,0.29629,0.29337,0.29518,4364893.5,1285357.543,3152
1596855600000,2020-08-08 3:00:00,XRP/USDT,0.29518,0.29519,0.29125,0.2925,6306622.8,1847503.743,4126
1596859200000,2020-08-08 4:00:00,XRP/USDT,0.29249,0.2937,0.29015,0.29059,6909589.4,2016674.518,4378
1596862800000,2020-08-08 5:00:00,XRP/USDT,0.2906,0.29463,0.29031,0.29429,7461241,2181255.859,4733
1596866400000,2020-08-08 6:00:00,XRP/USDT,0.29429,0.29468,0.29331,0.29397,4963065.3,1459591.138,3327
1596870000000,2020-08-08 7:00:00,XRP/USDT,0.29397,0.29464,0.29205,0.29345,5817167.6,1707140.643,4166
1596873600000,2020-08-08 8:00:00,XRP/USDT,0.29346,0.29386,0.29172,0.29233,5978641.3,1748816.391,3683
1596877200000,2020-08-08 9:00:00,XRP/USDT,0.29231,0.2969,0.29208,0.29657,9567928.1,2825555.357,6247
1596880800000,2020-08-08 10:00:00,XRP/USDT,0.29658,0.2984,0.2958,0.29752,9677476.2,2878087.43,5793
1596884400000,2020-08-08 11:00:00,XRP/USDT,0.2975,0.2987,0.29684,0.29806,9034810.7,2692278.147,5292
1596888000000,2020-08-08 12:00:00,XRP/USDT,0.29816,0.29868,0.29592,0.29727,8931835.8,2653323.416,5157
1596891600000,2020-08-08 13:00:00,XRP/USDT,0.29726,0.29816,0.29588,0.29633,6647540.2,1972483.899,4340
1596895200000,2020-08-08 14:00:00,XRP/USDT,0.29633,0.29725,0.29461,0.29536,8042375.4,2380164.372,4840
1596898800000,2020-08-08 15:00:00,XRP/USDT,0.29532,0.29697,0.295,0.29525,6152528.4,1821398.953,4392
1596902400000,2020-08-08 16:00:00,XRP/USDT,0.29525,0.29561,0.29092,0.29369,16296940.1,4775112.169,9358
1596906000000,2020-08-08 17:00:00,XRP/USDT,0.2937,0.2945,0.29158,0.29441,7036652.7,2062269.739,5242
1596909600000,2020-08-08 18:00:00,XRP/USDT,0.29439,0.29481,0.29271,0.29348,8003842.7,2351110.456,5474
1596913200000,2020-08-08 19:00:00,XRP/USDT,0.29347,0.29383,0.29181,0.29211,7822537.3,2290790.627,5375
1596916800000,2020-08-08 20:00:00,XRP/USDT,0.2921,0.2922,0.2898,0.29205,9550958.3,2781062.411,6627
1596920400000,2020-08-08 21:00:00,XRP/USDT,0.29208,0.29478,0.2919,0.29476,6621945.8,1943862.1,4478
1596924000000,2020-08-08 22:00:00,XRP/USDT,0.29477,0.29482,0.29337,0.29376,5024995.8,1478773.874,3463
1596927600000,2020-08-08 23:00:00,XRP/USDT,0.29379,0.29542,0.29208,0.29527,6915628.2,2031011.7,4426
1596931200000,2020-08-09 0:00:00,XRP/USDT,0.29532,0.29839,0.29449,0.29652,14017452.8,4158007.682,8562
1596934800000,2020-08-09 1:00:00,XRP/USDT,0.29657,0.29719,0.29448,0.29527,6914426.1,2045167.055,5017
1596938400000,2020-08-09 2:00:00,XRP/USDT,0.29528,0.296,0.29421,0.29489,5448953.6,1607966.816,3394
1596942000000,2020-08-09 3:00:00,XRP/USDT,0.29485,0.29665,0.29442,0.2954,6265173.8,1850955.539,3705
1596945600000,2020-08-09 4:00:00,XRP/USDT,0.29542,0.29559,0.29369,0.29422,4097552.5,1208558.003,2999
1596949200000,2020-08-09 5:00:00,XRP/USDT,0.29422,0.29523,0.29253,0.2926,5315164.3,1563029.56,3596
1596952800000,2020-08-09 6:00:00,XRP/USDT,0.29259,0.29425,0.29253,0.29321,4294740.6,1260982.251,2762
1596956400000,2020-08-09 7:00:00,XRP/USDT,0.29321,0.29472,0.29301,0.29435,6127881.2,1801469.161,3070
1596960000000,2020-08-09 8:00:00,XRP/USDT,0.29434,0.29469,0.29195,0.29295,6381171.9,1869305.922,3950
