unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT,tradecount
1517184000000,2018-01-29 0:00:00,LTC/USDT,196.74,197.19,180.01,181.5,36900.24385,6841796.676,18605
1517270400000,2018-01-30 0:00:00,LTC/USDT,181.51,181.96,160.59,168.21,56599.48048,9714236.046,30313
1517356800000,2018-01-31 0:00:00,LTC/USDT,168.1,169.31,157.5,165.19,37253.63137,6066209.677,22621
1517443200000,2018-02-01 0:00:00,LTC/USDT,164.83,167.2,132,143.69,64818.91744,9681259.499,32711
1517529600000,2018-02-02 0:00:00,LTC/USDT,144.04,147,108.52,131.68,124193.0359,15940474.89,55200
1517616000000,2018-02-03 0:00:00,LTC/USDT,131.99,166.99,120.06,160.3,143242.7098,21386022.97,55345
1517702400000,2018-02-04 0:00:00,LTC/USDT,160.86,174.75,138,147.09,300059.1927,46812220.18,101423
1517788800000,2018-02-05 0:00:00,LTC/USDT,147.29,153.96,116.6,125.17,299970.4207,40146290.07,91798
1517875200000,2018-02-06 0:00:00,LTC/USDT,125.17,147,106.5,141,393108.7479,49029234.28,117861
1517961600000,2018-02-07 0:00:00,LTC/USDT,140.96,157,130.01,137.21,178588.5705,25755598.06,63415
1518048000000,2018-02-08 0:00:00,LTC/USDT,137.97,143.5,137.2,142.37,3877.47235,547053.0073,1385
1518134400000,2018-02-09 0:00:00,LTC/USDT,142.37,164.4,142.37,163.73,65205.08736,10150897.42,27598
1518220800000,2018-02-10 0:00:00,LTC/USDT,163.74,169,146.01,154.65,133107.1619,21097674.31,57987
1518307200000,2018-02-11 0:00:00,LTC/USDT,154.62,156.1,139,148.28,90638.82249,13496062.28,51011
1518393600000,2018-02-12 0:00:00,LTC/USDT,148.28,163.75,146.04,161.49,92515.29686,14589621.47,49748
1518480000000,2018-02-13 0:00:00,LTC/USDT,161.55,162.95,152,159.63,76565.21628,12069558.83,40116
1518566400000,2018-02-14 0:00:00,LTC/USDT,159.45,218.6,158.94,212.25,734010.6511,144508206.9,274802
1518652800000,2018-02-15 0:00:00,LTC/USDT,212.25,236.66,206.5,220.64,676400.6946,150844274.5,285935
1518739200000,2018-02-16 0:00:00,LTC/USDT,220.64,235.58,208.56,228.08,408040.4512,90688669.05,183771
1518825600000,2018-02-17 0:00:00,LTC/USDT,228,232.2,222.78,228,190064.5513,43303634.02,88178
1518912000000,2018-02-18 0:00:00,LTC/USDT,228.08,231.39,210.1,213.66,302164.9059,66870686.09,134218
1518998400000,2018-02-19 0:00:00,LTC/USDT,213.23,226.5,196,221.44,171716.1968,37779444.7,83172
1519084800000,2018-02-20 0:00:00,LTC/USDT,221.44,254.8,221,228.51,534334.8415,128317944,198469
1519171200000,2018-02-21 0:00:00,LTC/USDT,228.5,233.53,203.12,209.6,493443,106976453.1,174112
1519257600000,2018-02-22 0:00:00,LTC/USDT,209.6,222,188,192.61,396496.5489,80299085.59,152795
1519344000000,2018-02-23 0:00:00,LTC/USDT,192.69,216.28,182,206.4,427034.1542,85820511.92,168771
1519430400000,2018-02-24 0:00:00,LTC/USDT,206.38,219,192.3,206.5,326443.0926,67239268.01,118056
1519516800000,2018-02-25 0:00:00,LTC/USDT,206.69,223.17,198.94,217.78,314689.2619,66459733.73,98439
1519603200000,2018-02-26 0:00:00,LTC/USDT,218.16,232.3,214.43,218.5,408480.1248,91104241.06,130023
1519689600000,2018-02-27 0:00:00,LTC/USDT,218.25,224.36,211.8,214.6,248945.7873,54293702.45,80132
1519776000000,2018-02-28 0:00:00,LTC/USDT,214.94,223.71,201.5,201.86,185588.088,39526352.13,64499
1519862400000,2018-03-01 0:00:00,LTC/USDT,201.86,215,200.2,209.17,121521.2129,25319046.48,48132
1519948800000,2018-03-02 0:00:00,LTC/USDT,209.14,214.47,203.43,212.8,89853.18198,18725901.76,39878
1520035200000,2018-03-03 0:00:00,LTC/USDT,212.8,218.39,208,210.04,120120.9805,25787453.1,43220
1520121600000,2018-03-04 0:00:00,LTC/USDT,210,215.34,204.5,213.19,67079.9353,14045210.12,30477
1520208000000,2018-03-05 0:00:00,LTC/USDT,213.19,217,208.17,210.14,71680.40092,15251073.13,31661
1520294400000,2018-03-06 0:00:00,LTC/USDT,210.03,210.49,191.31,196.24,130006.5373,26094574.12,48522
1520380800000,2018-03-07 0:00:00,LTC/USDT,196.2,199.28,173.08,185.25,229372.2102,42660481.22,68175
1520467200000,2018-03-08 0:00:00,LTC/USDT,185.33,187.5,173.69,175.24,160132.5365,28906501.33,53926
1520553600000,2018-03-09 0:00:00,LTC/USDT,175.06,190,157.68,185.79,308773.9243,53588984.01,95879
1520640000000,2018-03-10 0:00:00,LTC/USDT,185.88,194.99,174.48,176.74,187043.8542,34636318.13,61707
1520726400000,2018-03-11 0:00:00,LTC/USDT,176.85,194,169.85,188.16,197705.6657,36114840.74,64755
1520812800000,2018-03-12 0:00:00,LTC/USDT,188.16,192.88,173.58,177.8,142835.1075,26187028.2,54266
1520899200000,2018-03-13 0:00:00,LTC/USDT,177.8,182.9,170.51,175.01,115964.9562,20385448.4,47319
1520985600000,2018-03-14 0:00:00,LTC/USDT,175.38,177.52,156.5,160.15,151320.1788,25068333.73,58616
1521072000000,2018-03-15 0:00:00,LTC/USDT,160,167.7,149.55,164,207428.0445,33196769.34,63297
1521158400000,2018-03-16 0:00:00,LTC/USDT,164,171.6,157.5,164.1,113818.4533,18718175.61,41920
1521244800000,2018-03-17 0:00:00,LTC/USDT,164.12,165.96,150.2,151.75,105128.932,16522818.83,38038
1521331200000,2018-03-18 0:00:00,LTC/USDT,151.7,158,136.86,153.5,241693.6976,35451731.96,80391
1521417600000,2018-03-19 0:00:00,LTC/USDT,153.59,163.88,150.66,161.2,171855.3201,26919936.4,63302
1521504000000,2018-03-20 0:00:00,LTC/USDT,161.18,174,155.41,168.24,125783.5649,20695744.22,47676
1521590400000,2018-03-21 0:00:00,LTC/USDT,168.5,175.88,165.22,168.54,110902.8125,18938393.15,45091
1521676800000,2018-03-22 0:00:00,LTC/USDT,168.43,172.64,159.51,163.65,100604.6274,16639641.32,37553
1521763200000,2018-03-23 0:00:00,LTC/USDT,163.65,169.5,156.13,168.66,80739.90111,12990746.17,31977
1521849600000,2018-03-24 0:00:00,LTC/USDT,168.97,169.74,157.73,158.92,73773.75243,12109450.72,29402
1521936000000,2018-03-25 0:00:00,LTC/USDT,158.81,162.89,156.75,160.01,46203.18669,7379174.838,21307
1522022400000,2018-03-26 0:00:00,LTC/USDT,160,161.06,141.56,147.83,99508.29226,14928884.49,40209
1522108800000,2018-03-27 0:00:00,LTC/USDT,147.71,149.34,134.4,135,103463.3891,14565091.83,35412
1522195200000,2018-03-28 0:00:00,LTC/USDT,135,139.75,130.1,131.22,83839.85944,11261254,27705
1522281600000,2018-03-29 0:00:00,LTC/USDT,131.31,132.6,112.51,114.7,187392.7699,22462324.12,53948
1522368000000,2018-03-30 0:00:00,LTC/USDT,114.55,126.45,109.77,118.35,252079.1424,29552457.24,69432
1522454400000,2018-03-31 0:00:00,LTC/USDT,118.1,124.28,115.26,116.05,128237.7884,15387597.55,37066
1522540800000,2018-04-01 0:00:00,LTC/USDT,116.05,118.38,109.03,114.74,113209.8841,12890391.89,35748
1522627200000,2018-04-02 0:00:00,LTC/USDT,114.97,121.71,113.54,119.05,91168.44423,10788172.88,27432
1522713600000,2018-04-03 0:00:00,LTC/USDT,119.03,137.25,118,134.04,139283.4273,17832887.34,41708
1522800000000,2018-04-04 0:00:00,LTC/USDT,133.82,134.77,115.2,118.07,168974.9795,20675256.3,51911
1522886400000,2018-04-05 0:00:00,LTC/USDT,118.01,122.5,113.63,118.26,125611.5983,14846290.09,39718
1522972800000,2018-04-06 0:00:00,LTC/USDT,118.41,120.15,111.31,112.79,83137.97172,9505959.685,25277
1523059200000,2018-04-07 0:00:00,LTC/USDT,112.7,119.72,112.19,115.8,73178.28817,8566752.716,23798
1523145600000,2018-04-08 0:00:00,LTC/USDT,115.8,118.49,115.34,117.55,42540.37579,4974656.473,16718
1523232000000,2018-04-09 0:00:00,LTC/USDT,117.8,122.99,112.48,114.79,98639.79044,11532234.08,30073
1523318400000,2018-04-10 0:00:00,LTC/USDT,114.62,115.26,111.25,114.25,54554.53212,6206852.141,17673
1523404800000,2018-04-11 0:00:00,LTC/USDT,114.25,119.59,112.92,118.4,62636.41007,7213019.409,19511
1523491200000,2018-04-12 0:00:00,LTC/USDT,118.4,130.9,112.92,129.67,232191.2283,28190785.75,65320
1523577600000,2018-04-13 0:00:00,LTC/USDT,129.62,133.98,123.55,125.1,187842.6214,24181800.33,50478
1523664000000,2018-04-14 0:00:00,LTC/USDT,125.28,129.71,124,126.4,77108.42942,9769310.998,138315
1523750400000,2018-04-15 0:00:00,LTC/USDT,126.4,132.99,126.4,132.45,61105.32594,7961965.486,18549
1523836800000,2018-04-16 0:00:00,LTC/USDT,132.45,133.49,124.88,128.96,86544.7505,11079471.42,21422
1523923200000,2018-04-17 0:00:00,LTC/USDT,128.76,140.5,128.73,132.09,165601.8802,22412227.67,42354
1524009600000,2018-04-18 0:00:00,LTC/USDT,132.1,141.43,131.5,140.36,100942.7885,13851175.15,26882
1524096000000,2018-04-19 0:00:00,LTC/USDT,140.36,147.48,138.51,146.71,97431.94319,13912412.56,28013
1524182400000,2018-04-20 0:00:00,LTC/USDT,146.5,156.49,142.62,155.71,139102.8337,20855523.29,40989
1524268800000,2018-04-21 0:00:00,LTC/USDT,155.5,156.94,139.8,148.4,150940.4375,22447754.9,45250
1524355200000,2018-04-22 0:00:00,LTC/USDT,148.38,153.14,144.26,146.38,84286.7952,12575028.73,27696
1524441600000,2018-04-23 0:00:00,LTC/USDT,146.38,153.67,145.8,152.56,73891.75771,11150207.81,22972
1524528000000,2018-04-24 0:00:00,LTC/USDT,152.57,166.29,152.44,164.78,172718.0681,27854951.38,45827
1524614400000,2018-04-25 0:00:00,LTC/USDT,164.23,164.79,141.85,144.75,192757.1952,29132512.55,55270
1524700800000,2018-04-26 0:00:00,LTC/USDT,144.74,154.84,142,153.19,98478.86456,14546459.95,26019
1524787200000,2018-04-27 0:00:00,LTC/USDT,153.19,153.8,144.44,144.9,95174.33853,14304916.63,27583
1524873600000,2018-04-28 0:00:00,LTC/USDT,145.66,153.74,144.49,152.1,80642.67696,12143970.52,26844
1524960000000,2018-04-29 0:00:00,LTC/USDT,151.89,156.87,148,153.5,93443.5302,14243367.24,30197
1525046400000,2018-04-30 0:00:00,LTC/USDT,153.51,154.9,147,148.37,92445.57179,13941608.94,27153
1525132800000,2018-05-01 0:00:00,LTC/USDT,148.36,148.89,142.44,148.29,88367.51511,12837335.36,25648
1525219200000,2018-05-02 0:00:00,LTC/USDT,148.28,153.76,146.21,151.58,76486.25106,11423470.37,23551
1525305600000,2018-05-03 0:00:00,LTC/USDT,151.58,165.04,150,161.38,190732.6775,30112567.15,52984
1525392000000,2018-05-04 0:00:00,LTC/USDT,161.17,172.1,157.1,169.44,175174.3413,28741709.54,39748
1525478400000,2018-05-05 0:00:00,LTC/USDT,169.2,184.67,168.13,179.04,226947.8176,40162226.19,56655
1525564800000,2018-05-06 0:00:00,LTC/USDT,178.86,184.98,164.8,172.32,198191.5738,34339687.68,48936
1525651200000,2018-05-07 0:00:00,LTC/USDT,172.1,172.81,157.3,164.59,170523.8358,27962061.89,41948
1525737600000,2018-05-08 0:00:00,LTC/USDT,164.52,168.66,155.05,158.89,113315.9363,18364526.22,28380
1525824000000,2018-05-09 0:00:00,LTC/USDT,159,160.32,150,156.72,96837.57036,15104252.63,26399
1525910400000,2018-05-10 0:00:00,LTC/USDT,156.75,160.9,147.22,148.16,87015.41914,13514823.47,24845
1525996800000,2018-05-11 0:00:00,LTC/USDT,148.11,148.5,132.97,136.32,147425.6038,20808982.58,40640
1526083200000,2018-05-12 0:00:00,LTC/USDT,136.32,144.47,130.32,141.57,91975.31387,12746995.5,31887
1526169600000,2018-05-13 0:00:00,LTC/USDT,141.43,146.89,136.1,144.24,89476.86723,12691439.05,26102
1526256000000,2018-05-14 0:00:00,LTC/USDT,144.19,152.95,134.19,147.42,171489.171,24597937.5,47336
1526342400000,2018-05-15 0:00:00,LTC/USDT,147.1,149.67,136.91,139.35,105112.9027,15094108.78,33164
1526428800000,2018-05-16 0:00:00,LTC/USDT,139.34,140.86,133.5,138.92,70852.18798,9700453.293,24269
1526515200000,2018-05-17 0:00:00,LTC/USDT,138.91,141.5,131,132.31,58209.5848,7947073.017,19831
1526601600000,2018-05-18 0:00:00,LTC/USDT,132.07,137.49,128,135.95,66556.79304,8827432.325,20413
1526688000000,2018-05-19 0:00:00,LTC/USDT,135.95,137.77,132.6,134.95,37830.56861,5116578.091,14468
1526774400000,2018-05-20 0:00:00,LTC/USDT,134.89,141,132.5,139.64,47003.82267,6479741.685,17436
1526860800000,2018-05-21 0:00:00,LTC/USDT,139.63,140.25,133.43,134.25,43516.2189,5933499.302,15840
1526947200000,2018-05-22 0:00:00,LTC/USDT,134.25,136.25,127.31,127.89,41745.53907,5488322.582,17588
1527033600000,2018-05-23 0:00:00,LTC/USDT,127.9,129.35,115.83,118.37,107080.5148,13059496.19,30022
1527120000000,2018-05-24 0:00:00,LTC/USDT,118.29,124.85,114.7,122.58,79220.48706,9517575.355,24953
1527206400000,2018-05-25 0:00:00,LTC/USDT,122.65,124.58,116.63,118.87,98242.40331,11733268.48,24159
1527292800000,2018-05-26 0:00:00,LTC/USDT,118.78,122.46,117.18,118.45,121594.2696,14597965.93,23328
1527379200000,2018-05-27 0:00:00,LTC/USDT,118.35,119,116.58,117.71,119072.1558,13992547.55,21705
1527465600000,2018-05-28 0:00:00,LTC/USDT,117.72,118.97,110,110.82,75142.06687,8624420.818,21684
1527552000000,2018-05-29 0:00:00,LTC/USDT,110.66,122.71,109.41,119.28,70835.89135,8344414.079,19151
1527638400000,2018-05-30 0:00:00,LTC/USDT,119.52,122.73,114.69,117.18,47541.06432,5657430.336,15293
1527724800000,2018-05-31 0:00:00,LTC/USDT,117.18,121.01,116.04,118.25,55831.28616,6646626.535,15845
1527811200000,2018-06-01 0:00:00,LTC/USDT,118.25,120.4,116.62,120.19,51605.41534,6128372.286,12473
1527897600000,2018-06-02 0:00:00,LTC/USDT,120.19,124.5,118.66,123.44,45059.33298,5504755.443,14573
1527984000000,2018-06-03 0:00:00,LTC/USDT,123.44,127.98,122.23,125.33,52884.48398,6636628.904,18072
1528070400000,2018-06-04 0:00:00,LTC/USDT,125.07,127.01,118,119.77,59686.2455,7227010.095,16492
1528156800000,2018-06-05 0:00:00,LTC/USDT,119.77,122.6,115.77,122.18,48879.6275,5823546.869,16679
1528243200000,2018-06-06 0:00:00,LTC/USDT,122.2,122.94,118,121.61,36817.66091,4450435.128,13302
1528329600000,2018-06-07 0:00:00,LTC/USDT,121.63,123.84,119.4,121.54,39573.29608,4812926.925,15223
1528416000000,2018-06-08 0:00:00,LTC/USDT,121.56,122.18,118.04,119.68,28982.19754,3468451.554,10223
1528502400000,2018-06-09 0:00:00,LTC/USDT,119.9,120.93,116.7,117.4,17060.66336,2035221.803,8081
1528588800000,2018-06-10 0:00:00,LTC/USDT,117.25,117.47,102.75,106.48,88683.19352,9692900.337,26149
1528675200000,2018-06-11 0:00:00,LTC/USDT,106.5,108.42,102.7,107.2,56836.22735,6006747.921,18424
1528761600000,2018-06-12 0:00:00,LTC/USDT,107.2,107.86,94.05,99.68,73444.59887,7540691.121,20716
1528848000000,2018-06-13 0:00:00,LTC/USDT,99.68,100.45,86.71,93.37,168148.0569,15894051.8,34592
1528934400000,2018-06-14 0:00:00,LTC/USDT,93.4,102.87,91.65,100.88,177889.8581,17309706.95,36543
1529020800000,2018-06-15 0:00:00,LTC/USDT,100.89,100.98,94.49,95.5,155895.2462,15253287.66,29482
1529107200000,2018-06-16 0:00:00,LTC/USDT,95.5,97.58,92.68,96.66,130013.9953,12447952.54,25038
1529193600000,2018-06-17 0:00:00,LTC/USDT,96.65,98.2,94.51,94.95,119733.0926,11542696.57,24087
1529280000000,2018-06-18 0:00:00,LTC/USDT,94.95,99.88,92.89,98.7,161804.4625,15517726.76,31156
1529366400000,2018-06-19 0:00:00,LTC/USDT,98.79,120,96.91,98.67,130065.5113,12839843.28,28856
1529452800000,2018-06-20 0:00:00,LTC/USDT,98.67,99.13,95.21,97.72,141985.6417,13782651.36,28109
1529539200000,2018-06-21 0:00:00,LTC/USDT,97.72,99.3,96,96.72,137564.825,13359242.49,27061
1529625600000,2018-06-22 0:00:00,LTC/USDT,96.74,96.87,80.02,84.8,232108.914,20336007.63,49836
1529712000000,2018-06-23 0:00:00,LTC/USDT,84.75,86.77,81.31,82.73,165849.7556,13847070.92,33337
1529798400000,2018-06-24 0:00:00,LTC/USDT,82.76,83.63,73.22,80.37,250304.8192,19659622.6,51231
1529884800000,2018-06-25 0:00:00,LTC/USDT,80.46,84.38,78.55,81.48,164736.3733,13384187.74,34791
1529971200000,2018-06-26 0:00:00,LTC/USDT,81.48,81.99,75,75.54,118123.1803,9353924.399,20213
1530057600000,2018-06-27 0:00:00,LTC/USDT,75.63,81.75,74.87,80.6,139175.3341,10907247.06,25034
1530144000000,2018-06-28 0:00:00,LTC/USDT,80.71,81.43,73.89,74.05,179829.0657,14111508.68,29603
1530230400000,2018-06-29 0:00:00,LTC/USDT,74.24,80.79,72.15,78.94,182184.8645,13628167.37,31677
1530316800000,2018-06-30 0:00:00,LTC/USDT,78.94,84.59,78.84,81.33,170407.2992,13873276.69,27835
1530403200000,2018-07-01 0:00:00,LTC/USDT,81.34,81.83,77.73,79.95,145195.4048,11578099.28,23604
1530489600000,2018-07-02 0:00:00,LTC/USDT,79.96,87.06,78.11,85.36,171028.1317,14148269.22,29795
1530576000000,2018-07-03 0:00:00,LTC/USDT,85.36,90,83.64,85.09,192538.9875,16697670.12,33969
1530662400000,2018-07-04 0:00:00,LTC/USDT,84.87,89.01,83.98,85.28,119209.8786,10301557.59,19372
1530748800000,2018-07-05 0:00:00,LTC/USDT,85.23,87.11,81.77,83.33,170561.6332,14375938.53,32553
1530835200000,2018-07-06 0:00:00,LTC/USDT,83.26,84.23,80.67,83.1,156241.9872,12927067.52,30334
1530921600000,2018-07-07 0:00:00,LTC/USDT,83.1,85.35,79.4,84.79,161497.8695,13194718.21,25320
1531008000000,2018-07-08 0:00:00,LTC/USDT,84.88,85.7,81.81,82.22,151162.899,12714183.75,25706
1531094400000,2018-07-09 0:00:00,LTC/USDT,82.26,83.12,79.8,80.46,164942.791,13486143.28,26646
1531180800000,2018-07-10 0:00:00,LTC/USDT,80.58,80.62,74.25,75.81,211707.9717,16301339.74,32786
1531267200000,2018-07-11 0:00:00,LTC/USDT,75.79,80.98,75.31,78.18,192182.0067,14878690.44,32131
1531353600000,2018-07-12 0:00:00,LTC/USDT,78.18,78.25,74,76.79,181966.7424,13812292.33,26488
1531440000000,2018-07-13 0:00:00,LTC/USDT,76.82,78.6,74.96,76.53,167655.2693,12912109.68,25186
1531526400000,2018-07-14 0:00:00,LTC/USDT,76.52,77.5,75.37,76.18,142798.4544,10889163.06,20093
1531612800000,2018-07-15 0:00:00,LTC/USDT,76.19,79.5,75.1,78.54,149955.8008,11604880.68,21757
1531699200000,2018-07-16 0:00:00,LTC/USDT,78.54,84.28,77.6,83.49,182917.2207,14849320.62,27446
1531785600000,2018-07-17 0:00:00,LTC/USDT,83.65,90,81.3,89.06,204689.4776,17424042.9,33429
1531872000000,2018-07-18 0:00:00,LTC/USDT,88.99,94.41,84.2,86.21,207474.928,18644932.15,39821
1531958400000,2018-07-19 0:00:00,LTC/USDT,86.26,89,84.8,86,154334.9518,13363247.48,26115
1532044800000,2018-07-20 0:00:00,LTC/USDT,86.1,86.69,80.72,81.87,172067.6313,14427924.63,30362
1532131200000,2018-07-21 0:00:00,LTC/USDT,81.84,84.93,79.5,83.44,134142.4487,11093940.82,24424
1532217600000,2018-07-22 0:00:00,LTC/USDT,83.42,84.2,81.78,82.21,137457.8165,11406970.05,23618
1532304000000,2018-07-23 0:00:00,LTC/USDT,82.2,85.96,81.1,81.38,143669.0355,12017252.07,26538
1532390400000,2018-07-24 0:00:00,LTC/USDT,81.43,89.79,80.79,89.12,207891.1757,17982460.01,40138
