date,USDT,open,high,low,close,volume
1607419620,19063.87,19063.87,19054.85,19055.09,79.77,1520217.05
1607419680,19055.09,19056.59,19049.95,19049.95,60.92,1160559.77
1607419740,19049.95,19049.95,19035.19,19039.28,132.21,2517008.24
1607419800,19039.28,19040.71,19022.62,19023.27,176.46,3357566.94
1607419860,19023.27,19040.51,19023.27,19038.18,129.19,2458859.82
