unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1517011200000,2018-01-27 0:00:00,BTC/USDT,11089,11650,10842.69,11491,18860.76835,212663199.5,207478
1517097600000,2018-01-28 0:00:00,BTC/USDT,11499.98,12244,11408,11879.95,16887.33952,200211582.9,206247
1517184000000,2018-01-29 0:00:00,BTC/USDT,11879.95,11975.02,11139.55,11251,14170.37754,162110154.9,169199
1517270400000,2018-01-30 0:00:00,BTC/USDT,11250.11,11308.42,9900,10237.51,25554.37295,268978329.5,259212
1517356800000,2018-01-31 0:00:00,BTC/USDT,10230,10425.85,9700,10285.1,18015.95681,181644207.1,201422
1517443200000,2018-02-01 0:00:00,BTC/USDT,10285.1,10335,8750.99,9224.52,33564.76431,317636346,316020
1517529600000,2018-02-02 0:00:00,BTC/USDT,9224.52,9250,8010.02,8873.03,49971.62698,434236483.7,453411
1517616000000,2018-02-03 0:00:00,BTC/USDT,8873.03,9473.01,8229,9199.96,28725.00074,256834729.1,327519
1517702400000,2018-02-04 0:00:00,BTC/USDT,9199.96,9368,7930,8184.81,32014.30845,274912288.4,356134
1517788800000,2018-02-05 0:00:00,BTC/USDT,8179.99,8382.8,6625,6939.99,63403.18258,471166218.7,533510
1517875200000,2018-02-06 0:00:00,BTC/USDT,6939.63,7878,6000.01,7652.14,100201.5003,684364276.4,785996
1517961600000,2018-02-07 0:00:00,BTC/USDT,7655.02,8476,7150.01,7599,60778.4605,477935038.8,514893
1518048000000,2018-02-08 0:00:00,BTC/USDT,7599,7844,7572.09,7784.02,1521.537318,11770168.04,12417
1518134400000,2018-02-09 0:00:00,BTC/USDT,7789.9,8738,7789.9,8683.92,20482.91083,173348469.8,273091
1518220800000,2018-02-10 0:00:00,BTC/USDT,8683.93,9065.78,8120,8533.98,49381.51265,423411421.9,537578
1518307200000,2018-02-11 0:00:00,BTC/USDT,8533.99,8549,7726.53,8063.88,45025.18795,366966437.2,524626
1518393600000,2018-02-12 0:00:00,BTC/USDT,8063.82,8989,8053,8903,41987.85049,362440827,477660
1518480000000,2018-02-13 0:00:00,BTC/USDT,8903,8950,8351,8539.9,35454.97296,305165143.7,401893
1518566400000,2018-02-14 0:00:00,BTC/USDT,8535.17,9489.6,8533,9449.99,40811.95287,370126692.7,514897
1518652800000,2018-02-15 0:00:00,BTC/USDT,9449.98,10219.5,9301.5,10000.09,52427.59672,512388484.7,608349
1518739200000,2018-02-16 0:00:00,BTC/USDT,10000.89,10323.37,9666,10159.98,38161.20597,381103299.2,405310
1518825600000,2018-02-17 0:00:00,BTC/USDT,10156.07,11075.07,10050,11039.55,41882.10841,446012696.2,413585
1518912000000,2018-02-18 0:00:00,BTC/USDT,11039.55,11274,10080,10383.43,61137.38073,649423311.3,537534
1518998400000,2018-02-19 0:00:00,BTC/USDT,10375.01,11250,10270.33,11153,40831.41713,443766562.7,366882
1519084800000,2018-02-20 0:00:00,BTC/USDT,11147.11,11786.01,11100.59,11200.99,48153.35429,551573232.2,432197
1519171200000,2018-02-21 0:00:00,BTC/USDT,11195.07,11304.03,10200,10437.6,68113.81875,731537130.5,542340
1519257600000,2018-02-22 0:00:00,BTC/USDT,10439.02,10933.44,9679,9811.04,67060.16648,682006373.9,506273
