unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1517097600000,2018-01-28 0:00:00,ETH/USDT,1118.99,1277,1112,1251.96,143510.7359,173283524.9,191653
1517184000000,2018-01-29 0:00:00,ETH/USDT,1251.96,1258.89,1161.65,1177.01,105292.7681,126282956.2,172601
1517270400000,2018-01-30 0:00:00,ETH/USDT,1177.01,1186.85,1051,1085.5,155278.554,173857602.8,257484
1517356800000,2018-01-31 0:00:00,ETH/USDT,1084.63,1135,1029,1124.81,100372.0378,109226169.4,191394
1517443200000,2018-02-01 0:00:00,ETH/USDT,1125.96,1164.99,981,1041.94,203355.2905,220810878.7,343466
1517529600000,2018-02-02 0:00:00,ETH/USDT,1041.89,1047.2,783.67,922.3,377375.2287,348077470.8,501434
1517616000000,2018-02-03 0:00:00,ETH/USDT,923.67,998,851,971,160037.8813,150132852.2,277958
1517702400000,2018-02-04 0:00:00,ETH/USDT,971,975,789,823.56,186446.0316,163419119,291397
1517788800000,2018-02-05 0:00:00,ETH/USDT,821.6,862.47,634.94,697.92,365516.529,270801309.7,430516
1517875200000,2018-02-06 0:00:00,ETH/USDT,697.93,798,570.1,779.25,648944.4204,435291131,685832
1517961600000,2018-02-07 0:00:00,ETH/USDT,779.99,849,714.18,754,356403.4441,282259408.7,394597
1518048000000,2018-02-08 0:00:00,ETH/USDT,753.19,786.93,751,781.66,10516.2619,8110366.548,8507
1518134400000,2018-02-09 0:00:00,ETH/USDT,781.66,882.2,781.66,877,95447.67289,81316368.02,196544
1518220800000,2018-02-10 0:00:00,ETH/USDT,876.3,911.2,800,851.15,214818.0677,184921265,342039
1518307200000,2018-02-11 0:00:00,ETH/USDT,851.15,857,768.28,808.99,189323.408,154647315,318895
1518393600000,2018-02-12 0:00:00,ETH/USDT,808.58,877.56,807.46,866.66,143586.9312,122610007.9,300970
1518480000000,2018-02-13 0:00:00,ETH/USDT,866.39,871,820,841.57,110305.9354,92966057.38,234604
1518566400000,2018-02-14 0:00:00,ETH/USDT,841.57,924.99,841.3,919.09,150342.8556,133514830.9,297425
1518652800000,2018-02-15 0:00:00,ETH/USDT,919.09,946.66,895.59,924.55,155637.7852,143817533.1,308893
1518739200000,2018-02-16 0:00:00,ETH/USDT,924.55,948.48,901.36,938.67,115540.1635,107292023.6,247188
1518825600000,2018-02-17 0:00:00,ETH/USDT,938.6,974,933.48,969.99,110091.0362,105637458.5,224139
1518912000000,2018-02-18 0:00:00,ETH/USDT,969.99,978.5,897,911,160129.7952,149501060.9,287445
1518998400000,2018-02-19 0:00:00,ETH/USDT,911,956.22,906.04,938.11,80099.49534,75083849.38,188985
1519084800000,2018-02-20 0:00:00,ETH/USDT,939.17,961,873,882.99,120056.675,111258170,225795
1519171200000,2018-02-21 0:00:00,ETH/USDT,882.99,908.88,812.87,835.89,176200.5515,151739403,324214
1519257600000,2018-02-22 0:00:00,ETH/USDT,836.35,871.96,786.6,801.49,137561.8511,112939926.7,265430
1519344000000,2018-02-23 0:00:00,ETH/USDT,801.47,885,785.99,851.6,154507.4134,130147658,283445
1519430400000,2018-02-24 0:00:00,ETH/USDT,851.59,875,805,833.94,89311.5794,75082869.27,180745
1519516800000,2018-02-25 0:00:00,ETH/USDT,833.92,849.5,813.18,841.19,59431.26474,49520472.19,134040
1519603200000,2018-02-26 0:00:00,ETH/USDT,841.46,882,833,867.98,74911.4656,64498089.2,135463
1519689600000,2018-02-27 0:00:00,ETH/USDT,867.98,897.49,860.69,870.11,63487.68425,55793476.98,113151
1519776000000,2018-02-28 0:00:00,ETH/USDT,871.84,891,850.3,853.5,53620.45209,46744924.42,102553
1519862400000,2018-03-01 0:00:00,ETH/USDT,853.5,879.96,848.65,870.63,43785.00503,37976139.75,89476
1519948800000,2018-03-02 0:00:00,ETH/USDT,870.63,876.22,850,856.28,39436.26006,34068626.38,77178
1520035200000,2018-03-03 0:00:00,ETH/USDT,856.27,870.78,852.3,856.02,34170.2942,29487108.37,65375
1520121600000,2018-03-04 0:00:00,ETH/USDT,856.51,868,836.24,866.66,29735.01829,25364732.86,64562
1520208000000,2018-03-05 0:00:00,ETH/USDT,866.61,871.75,847.2,849.84,30567.79813,26391332.15,61568
1520294400000,2018-03-06 0:00:00,ETH/USDT,849.81,853.18,803.01,813.11,48658.06883,40340972.83,90220
1520380800000,2018-03-07 0:00:00,ETH/USDT,813.31,826.2,718.4,749.9,109013.2838,83030975.9,157657
1520467200000,2018-03-08 0:00:00,ETH/USDT,749.02,772.07,684,695.46,76312.77819,55751521.78,124325
1520553600000,2018-03-09 0:00:00,ETH/USDT,695.48,727.92,640,723.71,116545.373,79262060.75,174238
1520640000000,2018-03-10 0:00:00,ETH/USDT,723.65,745,673.06,680.58,63012.67972,45345997.5,98429
1520726400000,2018-03-11 0:00:00,ETH/USDT,680.58,735,659.15,720.85,73967.35869,51773437.87,108011
1520812800000,2018-03-12 0:00:00,ETH/USDT,721,740.5,676.31,697.11,67732.85988,48042091.35,107566
1520899200000,2018-03-13 0:00:00,ETH/USDT,696.52,713.76,680,689.94,55735.18315,38651705.85,110481
1520985600000,2018-03-14 0:00:00,ETH/USDT,690.16,703.54,585,610.1,89904.25415,57785217.49,139296
1521072000000,2018-03-15 0:00:00,ETH/USDT,610.1,621.12,570,608.83,94426.72453,56487242.01,139923
1521158400000,2018-03-16 0:00:00,ETH/USDT,608.83,625.3,584.15,599.05,64720.20994,39356556.47,84631
1521244800000,2018-03-17 0:00:00,ETH/USDT,599.03,609.26,544,546.95,68022.4592,39167671.25,85603
1521331200000,2018-03-18 0:00:00,ETH/USDT,547.98,560,450,537,248817.226,125170992.1,273110
1521417600000,2018-03-19 0:00:00,ETH/USDT,537.39,560,515.8,556.88,184798.7706,99812549.64,190236
1521504000000,2018-03-20 0:00:00,ETH/USDT,556.88,567.87,515,557,135426.9155,73696454.56,141920
1521590400000,2018-03-21 0:00:00,ETH/USDT,557,590.52,545.11,559.17,117019.1732,66572210.67,139151
1521676800000,2018-03-22 0:00:00,ETH/USDT,559.15,578.6,516,539.92,111106.1992,60459505.61,123941
1521763200000,2018-03-23 0:00:00,ETH/USDT,539.78,544.72,506.71,543.03,106416.0675,55542669.04,122067
1521849600000,2018-03-24 0:00:00,ETH/USDT,543.2,545.99,518.63,520.22,87710.78945,46963103.45,104841
1521936000000,2018-03-25 0:00:00,ETH/USDT,521.17,536,512,523.74,71903.1713,37482165.18,90242
1522022400000,2018-03-26 0:00:00,ETH/USDT,523.95,527.67,465.56,485,151084.2369,74104022.13,144216
1522108800000,2018-03-27 0:00:00,ETH/USDT,485,491.55,446,448.5,138188.7604,63816245.43,139179
1522195200000,2018-03-28 0:00:00,ETH/USDT,448.5,466,440.14,446.67,89895.47885,40547475.95,90706
1522281600000,2018-03-29 0:00:00,ETH/USDT,446.07,449.43,380,384,225341.9432,91719449.93,176576
1522368000000,2018-03-30 0:00:00,ETH/USDT,383.87,412.04,366,392.43,292254.7944,112316125.3,232555
1522454400000,2018-03-31 0:00:00,ETH/USDT,392.4,419.4,388.52,393.92,167833.594,67461541.59,134396
1522540800000,2018-04-01 0:00:00,ETH/USDT,393.93,399.91,356.9,378.58,150493.9942,56620178.35,119329
1522627200000,2018-04-02 0:00:00,ETH/USDT,378.58,394.87,375,385.05,113242.1419,43596858.5,95810
1522713600000,2018-04-03 0:00:00,ETH/USDT,385,419.08,380.13,415.01,137897.5557,55385110.15,118778
1522800000000,2018-04-04 0:00:00,ETH/USDT,415,416.5,370,378.16,140598.3967,54594624.76,132792
1522886400000,2018-04-05 0:00:00,ETH/USDT,378.15,387.03,365.61,381.22,120314.0588,45411126.9,103370
1522972800000,2018-04-06 0:00:00,ETH/USDT,381.56,385.91,362.54,368.89,74458.69141,27645272.52,69396
1523059200000,2018-04-07 0:00:00,ETH/USDT,368.89,394.75,368.28,384.51,71463.42848,27442723.66,65341
1523145600000,2018-04-08 0:00:00,ETH/USDT,384.51,404.05,384,400.4,57395.52936,22720923.55,61290
1523232000000,2018-04-09 0:00:00,ETH/USDT,400.4,431.99,387.1,399.44,151653.5041,61605245.87,122647
1523318400000,2018-04-10 0:00:00,ETH/USDT,399.25,418.68,391.4,416.07,81394.29605,32805764.1,73634
1523404800000,2018-04-11 0:00:00,ETH/USDT,415.53,433.54,410.38,429.52,86706.68627,36371404.23,76885
